Antick	NNP	B-noun.communication
Musings	NNP	I-noun.communication
post	NN	B-noun.communication
:	:	O
Book-A-Day	NNP	O
2010	CD	O
#	NN	O
243	CD	O
(	(	O
10/4	CD	O
)	)	O
--	:	O
Gray	NNP	B-noun.communication
Horses	NNP	I-noun.communication
by	IN	O
Hope	NNP	B-noun.person
Larson	NNP	I-noun.person
http://bit.ly/as8fvc	URL	O

RT	RT	O
@DIVINEDYNASTY	USR	O
:	:	O
RT	RT	O
@PLAIN_JAMES	USR	O
:	:	O
http://twitpic.com/3t0eng	URL	O
-	:	O
#THEREDROOM	HT	O
FRI	NNP	B-noun.time
03.18	CD	O
.	.	O
11	CD	O
CALI'S	NNP	B-noun.event
BDAY	NN	I-noun.event
BASH	NN	I-noun.event
FOR	IN	O
PISCES/ARIES	NNP	B-noun.time
DAY	NN	I-noun.time
1	CD	O
(	(	O
cont	NN	B-verb.stative
)	)	O
...	:	O

when	WRB	O
i	PRP	O
compliment	VBP	B-verb.communication
her	PRP	O
she	PRP	O
wo	MD	O
n't	RB	O
believe	VB	B-verb.cognition
mee	PRP	O
&lt;	UH	O
3	UH	O

@DaylySpecialz	USR	O
im	PRP	O
doin	VBG	B-verb.emotion
good	JJ	O
,	,	O
just	RB	O
maxin	VBG	B-verb.body
&	CC	O
relaxin	VBG	B-verb.body
on	IN	O
my	PRP$	O
day	NN	B-noun.time
off	IN	O
...	:	O
i	PRP	O
have	VBP	B-verb.stative
a	DT	O
4	CD	O
day	NN	B-noun.time
stetch	NN	O
startin	VBG	B-verb.change
tomorrow	NN	B-noun.time
.	.	O

Most	JJS	O
things	NNS	B-noun.Tops
usually	RB	O
do	VB	B-verb.social
RT	RT	O
@johncabell	USR	O
Somehow	RB	O
it	PRP	O
seems	VBZ	B-verb.perception
a	DT	O
much	RB	O
more	RBR	O
sensible	JJ	O
idea	NN	B-noun.cognition
when	WRB	O
@mccanner	USR	O
suggests	VBZ	B-verb.communication
it	PRP	O
.	.	O

Thrilled	VBN	B-verb.emotion
about	IN	O
this	DT	O
@HPC//RT@DeLynnRizzo	USR	O
:	:	O
girls	NNS	B-noun.person
,	,	O
register4	VB	B-verb.communication
#livethedream	HT	O
@joycemeyer	USR	O
,	,	O
J	NNP	B-noun.person
John	NNP	I-noun.person
,	,	O
@kerriweems	USR	O
oct	NNP	B-noun.time
7-9	CD	O
.	.	O
livethedreamconference	URL	O
.	URL	O
com	URL	O

I	PRP	O
've	VBP	O
just	RB	O
watched	VBN	B-verb.perception
first	JJ	O
four	CD	O
episodes	NNS	B-noun.communication
of	IN	O
K-On	NNP	B-noun.communication
for	IN	O
the	DT	O
first	JJ	O
time	NN	B-noun.event
!	.	O
:	UH	O
3	UH	O

Ugh	UH	O
I	PRP	O
DO	VBP	O
N'T	RB	O
HAVE	VB	B-verb.possession
MY	PRP$	O
EARPHONES	NNS	B-noun.artifact
I	PRP	O
GUESS	VBP	B-verb.cognition
I	PRP	O
WO	MD	O
N'T	RB	O
B	VB	O
TALKING	VBG	B-verb.communication
AND	CC	O
DRIVING	VBG	B-verb.motion
TODAY	NN	B-noun.time
LOL	UH	O
....	:	O
Excuses	NNS	B-noun.communication
Excuses	NNS	B-noun.communication
Excuses	NNS	B-noun.communication
SMH	UH	O

WIN	VB	B-verb.competition
a	DT	O
GROOVY	NNP	B-noun.artifact
GIRLS	NNP	I-noun.artifact
PRINCESS	NNP	I-noun.artifact
SERAPHINA	NNP	I-noun.artifact
Doll	NNP	I-noun.artifact
@BabyStorePlus	USR	O
Giveaway	NN	B-noun.act
a	DT	O
Week	NN	B-noun.time
til	IN	O
Christmas	NNP	B-noun.event
Event	NN	I-noun.event
http://goo.gl/fb/X7T4s	URL	O
(	(	O
12/13	CD	O
)	)	O

RT	RT	O
@KassHussain	USR	O
:	:	O
RT	RT	O
@newsycombinator	USR	O
:	:	O
Signups	NNS	B-noun.act
increased	VBD	B-verb.change
by	IN	O
60%	CD	O
after	IN	O
actually	RB	O
removing	VBG	B-verb.change
the	DT	O
signup	NN	B-noun.communication
form	NN	I-noun.communication
http://j.mp/a3R3U1	URL	O
@carlosdomingos	USR	O

RT	RT	O
@TheLiverpoolMal	USR	O
:	:	O
Retweet	VB	B-verb.communication
when	WRB	O
your	PRP$	O
heart	NN	B-noun.cognition
skip	VBP	B-verb.cognition
a	DT	O
beat	NN	B-noun.event
for	IN	O
a	DT	O
nights	NNS	B-noun.act
stay	NN	I-noun.act
with	IN	O
your	PRP	O
loved	NN	B-noun.person
one	NN	I-noun.person
on	IN	O
the	DT	O
14th	CD	O
Feb	NNP	B-noun.time
with	IN	O
breakfast	NN	B-noun.food
.	.	O
Rates	NNS	B-noun.possession
fro	IN	O
...	:	O

@MiSS_SOTO	USR	O
I	PRP	O
think	VBP	B-verb.cognition
that	DT	O
's	VBZ	B-verb.stative
when	WRB	O
I	PRP	O
'm	VBP	B-verb.stative
gonna	VBG	O
be	VB	B-verb.stative
there	RB	O

@SnoopDogg	USR	O
hey	UH	O
snoop	NNP	B-noun.person
my	PRP$	O
wife	NN	B-noun.person
Cath	NNP	I-noun.person
is	VBZ	B-verb.stative
30	CD	O
today	NN	B-noun.time
,	,	O
any	DT	O
chance	NN	B-noun.state
of	IN	O
a	DT	O
shout	NN	B-noun.communication
out	IN	O
to	TO	O
her	PRP	O
,	,	O

RT	RT	O
@TomsTop5	USR	O
:	:	O
Check	VB	B-verb.perception
us	PRP	O
out	RP	O
-	:	O
we	PRP	O
're	VBP	B-verb.stative
FEATURED	VBN	B-verb.stative
on	IN	O
iTunes	NNP	B-noun.artifact
this	DT	O
week	NN	B-noun.time
!	.	O
Make	VB	B-verb.social
sure	JJ	O
to	TO	O
subscribe	VB	B-verb.possession
so	IN	O
Jobs	NNP	B-noun.person
knows	VBZ	B-verb.cognition
you	PRP	O
love	VBP	B-verb.emotion
us	PRP	O
http://twitpic.com/2pdr8h	URL	O

@zombie_killer94	USR	O
aaahh	UH	O
sorry	JJ	O
i	PRP	O
posted	VBD	B-verb.communication
the	DT	O
link	NN	B-noun.communication
wrong	JJ	O
:(	UH	O
basically	RB	O
their	PRP$	O
record	NN	B-noun.group
company	NN	I-noun.group
confirmed	VBD	B-verb.communication
the	DT	O
title	NN	B-noun.communication
&	CC	O
it	PRP	O
comes	VBZ	B-verb.change
out	IN	O
nov	NNP	B-noun.time
23	CD	O
XD	UH	O

Is	VBZ	B-verb.stative
there	EX	O
an	DT	O
At	NNP	B-noun.group
Issue	NN	I-noun.group
panel	NN	I-noun.group
tonight	NN	B-noun.time
?	.	O

I	PRP	O
do	VBP	B-verb.social
hope	VB	B-verb.emotion
we	PRP	O
beat	VBP	B-verb.competition
the	DT	O
wanderers	NNP	B-noun.group
tomorrow	NN	B-noun.time
#coys	HT	O

A	DT	O
TRUE	JJ	O
friend	NN	B-noun.person
walks	VBZ	B-verb.motion
in	IN	O
when	WRB	O
everybody	NN	B-noun.person
else	RB	O
walks	VBZ	B-verb.motion
out	RP	O
!	.	O

Today	NN	B-noun.time
's	POS	O
cheer	NN	B-noun.communication
went	VBD	B-verb.change
from	IN	O
awful	JJ	O
to	TO	O
awesome	JJ	O
from	IN	O
the	DT	O
moment	NN	B-noun.time
I	PRP	O
realized	VBD	B-verb.cognition
I	PRP	O
did	VBD	O
not	RB	O
have	VB	B-verb.social
class	NN	B-noun.act
today	NN	I-noun.time
.	.	O

Dude	NN	B-noun.person
in	IN	O
my	PRP$	O
group	NN	B-noun.group
in	IN	O
my	PRP$	O
Bcom	NN	B-noun.group
class	NN	I-noun.group
invited	VBD	B-verb.social
me	PRP	O
to	TO	O
an	DT	O
Evangelist	NN	B-noun.event
revival	NN	I-noun.event
mass	NN	I-noun.event
...	:	O
FUCKING	RB	O
HATE	VBP	B-verb.emotion
IT	PRP	O
WHEN	WRB	O
THEY	PRP	O
KNOW	VBP	B-verb.cognition
I'M	PRP	O
PAGAN	NNP	B-noun.person
AND	CC	O
INVITE	VBP	B-verb.social
ME	PRP	O
.	.	O
ANGER	NN	B-noun.feeling
.	.	O

He	PRP	O
did	VBD	B-verb.social
okay	JJ	O
when	WRB	O
he	PRP	O
played	VBD	B-verb.competition
.	.	O
RT	RT	O
@Itsgreat2bme	USR	O
:	:	O
@bmoreumissedit	USR	O
It	PRP	O
was	VBD	B-verb.stative
no	DT	O
game	NN	B-noun.act
for	IN	O
Adam	NNP	B-noun.person
,	,	O
what	WP	O
is	VBZ	B-verb.stative
it	PRP	O
called	VBD	B-verb.communication
by-week	NN	O
?	.	O
How	WRB	O
did	VBD	B-verb.social
little	JJ	O
G	NNP	B-noun.person
do	VBP	B-verb.social
?	.	O

Jus	RB	O
Another	DT	O
Monday	NNP	B-noun.time
Lettin	VBG	B-verb.change
That	DT	O
Work	NN	B-noun.act
Go	VBP	B-verb.change
Today	NN	B-noun.time
I	PRP	O
'm	VBP	B-verb.stative
On	IN	O
Cherry	NNP	B-noun.food
,	,	O
Bubble	NNP	B-noun.food
__AND__	CC	O
Purple	NNP	B-noun.food

wait	UH	O
what	WP	O
was	VBD	B-verb.stative
ur	PRP$	O
question	NN	B-noun.communication
:o	UH	O
?	.	O
why	WRB	O
would	MD	O
you	PRP	O
tell	VBP	B-verb.communication
her	PRP	O
that	DT	O
tho	RB	O
when	WRB	O
you	PRP	O
really	RB	O
dont	VBP	B-verb.cognition
know	VB	I-verb.cognition
the	DT	O
whole	JJ	O
story	NN	B-noun.communication
?	.	O
@getjaykrazy	USR	O

@Dc_Luvs_Swift	USR	O
randomly	RB	O
that	DT	O
just	RB	O
made	VBD	B-verb.social
me	PRP	O
smile	VBP	B-verb.body
:D	UH	O
do	VB	B-verb.social
n't	RB	O
ring	VB	B-verb.contact
the	DT	O
bell	NN	B-noun.artifact
tweet	VB	B-verb.communication
me	PRP	O
when	WRB	O
ur	PRP	O
here	RB	O
'll	MD	O
let	VB	B-verb.social
u	PRP	O
in	IN	O
:D	UH	O
...	:	O
that	DT	O
def	RB	O
would	MD	O
be	VB	B-verb.stative
awesome	JJ	O
:D	UH	O

RT	RT	O
@NaomiAKlein	USR	O
:	:	O
Today	NN	B-noun.time
's	POS	O
NYT	NNP	B-noun.communication
story	NN	I-noun.communication
on	IN	O
@aljazeera	USR	O
reads	VBZ	B-verb.cognition
like	IN	O
the	DT	O
reporter	NN	B-noun.person
just	RB	O
discovered	VBN	B-verb.cognition
news	NN	B-noun.communication
for	IN	O
the	DT	O
first	JJ	O
time	NN	B-noun.event

Fabulous	JJ	O
day	NN	B-noun.state
on	IN	O
the	DT	O
Surf	NNP	B-noun.location
Coast	NNP	I-noun.location
http://twitpic.com/38c0c6	URL	O

Beautiful	JJ	O
day	NN	B-noun.time
in	IN	O
Chicago	NNP	B-noun.location
!	.	O
Nice	JJ	O
to	TO	O
get	VB	B-verb.motion
away	RB	O
from	IN	O
the	DT	O
Florida	NNP	B-noun.phenomenon
heat	NN	I-noun.phenomenon
.	.	O

@TRARONEdwards	USR	O
tuesday	NNP	B-noun.time
is	VBZ	B-verb.stative
perfecy	JJ	O

Paul	NNP	B-noun.person
McCartney	NNP	I-noun.person
asks	VBZ	B-verb.communication
Indian	NNP	B-noun.person
Prime	NNP	I-noun.person
Minister	NNP	I-noun.person
to	TO	O
declare	VB	B-verb.communication
national	JJ	O
Vegetarian	NN	B-noun.time
Day	NN	I-noun.time
-	:	O
http://newzfor.me/?bv5q	URL	O

@maofootball	USR	O
Something	NN	B-noun.act
that	WDT	O
needs	VBZ	B-verb.stative
fixed	VBN	B-verb.change
more	RBR	O
than	IN	O
anything	NN	B-noun.Tops
-	:	O
MLS	NNP	B-noun.artifact
Cup	NNP	I-noun.artifact
loser	NN	I-noun.artifact
berth	NN	I-noun.artifact
should	MD	O
be	VB	O
given	VBN	B-verb.possession
to	TO	O
2nd	NN	B-noun.group
in	IN	O
table	NN	B-noun.artifact
.	.	O
If	IN	O
MLS	NNP	B-noun.group
wants	VBZ	B-verb.emotion
to	TO	O
win	VB	B-verb.competition
it	PRP	O
.	.	O

Coventry	NNP	B-noun.communication
Rugby	NNP	I-noun.communication
v	NNP	O
Barking	NNP	I-noun.communication
match	NN	I-noun.communication
preview	NN	I-noun.communication
__AND__	CC	O
results	NNS	B-noun.act
roundup	NN	I-noun.act
:	:	O
This	DT	O
Saturday	NNP	B-noun.time
12th	CD	O
February	NNP	B-noun.time
at	IN	O
the	DT	O
BPA	NNP	B-noun.location
,	,	O
kick	VB	B-noun.event
off	RP	O
3p	CD	O
...	:	O
http://bit.ly/fci92L	URL	O

RT	RT	O
@4MusicGossip	USR	O
:	:	O
Oh	UH	O
,	,	O
and	CC	O
do	VB	B-verb.social
n't	RB	O
forget	VB	B-verb.cognition
that	IN	O
there	EX	O
's	VBZ	B-verb.stative
another	DT	O
chance	NN	B-noun.state
to	TO	O
see	VB	B-verb.perception
@pink	USR	O
:	:	O
My	PRP$	O
Story	NN	B-noun.communication
at	IN	O
7pm	CD	O
tonight	NN	B-noun.time
http://bit.ly/hLAnXp	URL	O

Happy	JJ	O
Monday	NNP	B-noun.time
to	TO	O
Everyone	NN	B-noun.person
!	.	O
#education	HT	B-noun.cognition
can	MD	B-verb.change
never	RB	O
be	VB	O
taken	VBN	B-verb.possession
away	RB	O
...	:	O
go	VB	B-verb.motion
follow	VB	B-verb.motion
your	PRP$	O
#dreams	HT	B-noun.cognition

in	IN	O
tthe	DT	O
Car	NN	B-noun.location
:/	UH	O
Today	NN	B-noun.time
wasz	VBD	B-verb.stative
Fun	JJ	O
cusz	IN	O
anna	NNP	B-noun.person
Came	VBD	B-verb.motion
juss	RB	O
for	IN	O
me	PRP	O
&lt;	UH	O
3(	UH	O
:	UH	O
hahaha	UH	O

RT	RT	O
@purplekissessxo	USR	O
:	:	O
@EL_Swagga1	USR	O
i	PRP	O
miss	VBP	B-verb.emotion
your	PRP$	O
face	NN	B-noun.body
.	.	O
i	PRP	O
was	VBD	B-verb.stative
thinking	VBG	B-verb.cognition
the	DT	O
other	JJ	O
day	NN	B-noun.time
how	WRB	O
excited	JJ	O
you	PRP	O
were	VBD	B-verb.stative
when	WRB	O
you	PRP	O
first	RB	O
got	VBD	B-verb.possession
pandora	NNP	B-noun.artifact
..	:	O
aww	UH	O
lol	UH	O
...	:	O

I	PRP	O
'm	VBP	B-verb.stative
not	RB	O
an	DT	O
emotional	JJ	O
human	NN	B-noun.person
being	NN	I-noun.person
.	.	O
I	PRP	O
get	VBP	B-verb.change
angry	JJ	O
before	IN	O
I	PRP	O
get	VBP	B-verb.change
sad	JJ	O
.	.	O
And	CC	O
when	WRB	O
I	PRP	O
do	VBP	B-verb.social
get	VB	B-verb.change
sad	JJ	O
,	,	O
It	PRP	O
's	VBZ	B-verb.stative
often	RB	O
not	RB	O
that	RB	O
much	JJ	O
.	.	O
I	PRP	O
guess	VBP	B-verb.cognition
I	PRP	O
'm	VBP	B-verb.stative
kinda	RB	O
heartless	JJ	O

@yeastieboys	USR	O
that	WDT	O
's	VBZ	B-verb.stative
terrible	JJ	O
.	.	O
I	PRP	O
ca	MD	O
n't	RB	O
believe	VB	B-verb.cognition
its	PRP	O
been	VBN	O
going	VBG	B-verb.social
on	RP	O
so	RB	O
long	RB	O
.	.	O
My	PRP$	O
parents	NNS	B-noun.person
are	VBP	B-verb.stative
in	IN	O
Ashvegas	NNP	B-noun.location
but	CC	O
I	PRP	O
dont	VBP	O
think	VB	B-verb.cognition
it	PRP	O
's	VBZ	B-verb.stative
as	RB	O
bad	JJ	O
down	IN	O
there	RB	O
.	.	O

ThAnK	VB	B-verb.communication
gOd	NNP	B-noun.person
ItS	PRP	O
fRiDaY	NNP	B-noun.time
!!	.	O

@nfldraftdog	USR	O
He	PRP	O
definitely	RB	O
will	MD	B-verb.communication
as	RB	O
long	RB	O
as	IN	O
he	PRP	O
checks	VBZ	B-verb.stative
out	RP	O
medically	NN	O
.	.	O
I	PRP	O
think	VBP	B-verb.cognition
he	PRP	O
could	MD	O
go	VB	B-verb.competition
as	RB	O
high	JJ	O
as	IN	O
the	DT	O
2nd	CD	O
or	CC	O
3rd	CD	O
round	NN	B-noun.time
.	.	O

Lindsay	NNP	B-noun.person
Lohan	NNP	I-noun.person
allegedly	RB	O
failed	VBD	B-verb.social
her	PRP$	O
drug	NN	B-noun.act
test	NN	I-noun.act
.	.	O
So	RB	O
not	RB	O
fetch	JJ	O
.	.	O
Quick	RB	O
,	,	O
let	VB	B-verb.social
's	POS	O
all	DT	O
put	VBP	B-verb.contact
on	IN	O
our	PRP$	O
shocked	JJ	O
faces	NNS	B-noun.attribute
that	IN	O
23	CD	O
days	NNS	B-noun.time
of	IN	O
rehab	NN	B-noun.act
did	VBD	O
n't	RB	O
work	VB	B-verb.stative
!	.	O

Lingerie	NN	B-noun.group
football	NN	I-noun.group
league	NN	I-noun.group
come	VB	B-verb.motion
on	IN	O
tonight	NN	B-noun.time

Mmmm	UH	O
wings	NNS	B-noun.food
and	CC	O
beer	NN	B-noun.food
.	.	O
Damn	UH	O
that	WDT	O
means	VBZ	B-verb.stative
extra	JJ	O
gym	NN	B-noun.time
time	NN	I-noun.time
2mar	NN	B-noun.time

RT	RT	O
@DonnieWahlberg	USR	O
:	:	O
Soldiers	NNS	B-noun.group
...	:	O
Familia	NN	B-noun.group
...	:	O
BH's...	NNS	O
NK	NNP	B-noun.person
Fam	NN	I-noun.person
...	:	O
Homies	NNS	B-noun.person
...	:	O
Etc	FW	O
.	.	O
Etc	FW	O
.	.	O
Etc	FW	O
....	:	O
I	PRP	O
'm	VBP	B-verb.stative
gonna	VBG	O
need	VB	B-verb.stative
some	DT	O
company	NN	B-noun.group
next	JJ	O
Friday	NNP	B-noun.time
in	IN	O
NYC	NNP	B-noun.location
...	:	O

RT	RT	O
@Isabelly011	USR	O
:	:	O
i	PRP	O
like	VBP	B-verb.cognition
my	PRP$	O
tea	NN	B-noun.food
like	IN	O
i	PRP	O
like	VBP	B-verb.cognition
my	PRP$	O
men	NNS	B-noun.group
.	.	O
darker	JJR	O
than	IN	O
the	DT	O
night	NN	B-noun.state

@jackjohnson	USR	O
where	WRB	O
can	MD	B-verb.change
I	PRP	O
get	VBP	B-verb.possession
the	DT	O
official	JJ	O
set	NN	B-noun.artifact
list	NN	I-noun.artifact
to	TO	O
the	DT	O
show	NN	B-noun.act
at	IN	O
Berkeley	NNP	B-noun.location
in	IN	O
Oct	NNP	B-noun.time
6th	CD	O
?!	.	O

@Haworthinc	USR	O
Hey	UH	O
there	UH	O
RP	NNP	B-noun.person
...	:	O
Hope	VBP	B-verb.emotion
you	PRP	O
're	VBP	B-verb.stative
having	VBG	B-verb.stative
a	DT	O
great	JJ	O
Monday	NNP	B-noun.time
!...	.	O
JG	NNP	B-noun.person

Have	VB	B-verb.possession
DJ	NN	B-noun.person
Got	VBZ	B-verb.possession
Us	PRP	O
Fallin	VBG	B-verb.motion
in	IN	O
Love	NN	B-noun.feeling
in	IN	O
my	PRP$	O
head	NN	B-noun.body
.	.	O
"	''	O
Cause	IN	O
baby	NN	B-noun.person
tonight	NN	B-noun.time
,	,	O
The	DT	O
dj	NN	B-noun.person
got	VBZ	B-verb.possession
us	PRP	O
fallin	VBG	B-verb.motion
in	IN	O
love	NN	B-noun.feeling
again	RB	O
"	''	O

LOL	UH	O
A-W-E-S-O-M-E	JJ	O
!!	.	O
btw	UH	O
,	,	O
totally	RB	O
agree	VBP	B-verb.communication
RT	RT	O
@fanoffob	USR	O
Fall	NNP	B-noun.group
Out	NNP	I-noun.group
Boy	NNP	I-noun.group
is	VBZ	B-verb.stative
gay	JJ	O
#reallymeans	HT	O
I	PRP	O
'm	VBP	B-verb.stative
secretly	RB	O
a	DT	O
big	JJ	O
time	JJ	O
fan	NN	B-noun.person
.	.	O

Tidyin	VBG	B-verb.change
my	PRP$	O
room	NN	B-noun.location
.	.	O
Need	VBP	B-verb.stative
to	TO	O
do	VB	B-verb.creation
my	PRP$	O
hair	NN	B-noun.body
.	.	O
its	PRP	O
soo	RB	O
nasty	JJ	O
when	WRB	O
its	PRP	O
naturally	RB	O
curly	JJ	O
.	.	O

Dallas	NNP	B-noun.communication
Cowboys	NNP	I-noun.communication
News	NNP	I-noun.communication
:	:	O
Cowboys	NNP	B-noun.group
vs	IN	O
.	.	O
Lions	NNS	B-noun.group
:	:	O
The	DT	O
Jason	NNP	B-noun.time
Garrett	NNP	I-noun.time
era	NN	I-noun.time
got	VBD	B-verb.motion
off	IN	O
to	TO	O
a	DT	O
good	JJ	O
start	NN	B-noun.event
last	JJ	O
week	NN	B-noun.time
.	.	O
Now	RB	O
th	DT	O
...	:	O
http://bit.ly/amHf2G	URL	O
#Cowboys	HT	B-noun.person

@AuntB	USR	O
@rachel_w	USR	O
@randomjeweler	USR	O
To	TO	O
further	VB	B-verb.social
your	PRP$	O
daily	NN	B-noun.state
downer	NN	I-noun.state
,	,	O
he	PRP	O
made	VBD	B-verb.creation
Requiem	NNP	B-noun.communication
for	NNP	I-noun.communication
a	NNP	I-noun.communication
Dream	NN	I-noun.communication
when	WRB	O
he	PRP	O
was	VBD	B-verb.stative
31	CD	O
.	.	O

Amazing	UH	O
!	.	O
RT	RT	O
@dailygalaxy	USR	O
Image	NN	B-noun.artifact
of	IN	O
the	DT	O
Day	NN	B-noun.time
:	:	O
A	DT	O
Ghostly	NNP	O
Reflection	NNP	B-noun.phenomenon
Nebula	NNP	I-noun.object
http://su.pr/1XBMfP	URL	O

@_liinds	USR	O
yehhh	UH	O
!	.	O
i	PRP	O
thinkk	VBP	B-verb.cognition
i	PRP	O
got	VBD	B-verb.cognition
it	PRP	O
(	UH	O
:	UH	O
the	DT	O
guy	NN	B-noun.person
told	VBD	B-verb.communication
me	PRP	O
'll	MD	O
call	VB	B-verb.communication
me	PRP	O
when	WRB	O
he	PRP	O
gets	VBZ	B-verb.motion
my	PRP$	O
application	NN	B-noun.communication
to	TO	O
the	DT	O
person	NN	B-noun.person
!	.	O
its	PRP	O
the	DT	O
one	NN	B-noun.quantity
in	IN	O
herold	NNP	B-noun.location
square	NNP	I-noun.location
!	.	O

@FoIManUK	USR	O
our	PRP$	O
#FOI	HT	B-noun.communication
Jan	NNP	B-noun.time
11	CD	O
tally	NN	B-noun.act
is	VBZ	B-verb.stative
26%	CD	O
of	IN	O
2010	CD	O
total	NN	B-noun.artifact

Hanging	VBG	B-verb.social
out	RP	O
with	IN	O
drama	NNP	B-noun.person
tonight	NN	B-noun.time
to	TO	O
check	VB	B-verb.perception
out	RP	O
his	PRP$	O
calves	NNS	B-noun.body

My	PRP$	O
first	JJ	O
assignment	NN	B-noun.communication
was	VBD	B-verb.stative
a	DT	O
medical	JJ	O
illustration	NN	B-noun.communication
job	NN	I-noun.communication
through	IN	O
a	DT	O
friend	NN	B-noun.person
.	.	O
After	IN	O
meeting	VBG	B-verb.social
with	IN	O
the	DT	O
surgeon	NN	B-noun.person
,	,	O
I	PRP	O
comple	RB	O
...	:	O

Good	UH	O
golly	UH	O
.	.	O
Who	WP	B-noun.group
left	VBD	B-verb.cognition
the	DT	O
candy	NN	B-noun.food
in	IN	O
the	DT	O
lunchroom	NN	B-noun.location
.	.	O
May	MD	O
set	VBD	B-verb.competition
a	DT	O
world	NN	B-noun.communication
record	NN	I-noun.communication
for	IN	O
the	DT	O
most	JJS	O
Sour	NNP	B-noun.food
Patch	NNP	I-noun.food
kids	NNPS	I-noun.food
eaten	VBN	B-verb.consumption
by	IN	O
an	DT	O
individual	NN	B-noun.person
!	.	O

Annoying	JJ	O
:	:	O
when	WRB	O
my	PRP$	O
boss	NN	B-noun.person
complains	VBZ	B-verb.communication
people	NNS	B-noun.group
do	VBP	O
n't	RB	O
respond	VB	B-verb.communication
to	TO	O
emails	NNS	B-noun.communication
ASAP	RB	O
&lt;	CC	O
yet	CC	O
I	PRP	O
always	RB	O
do	VBP	B-verb.social
,	,	O
yet	CC	O
she	PRP	O
never	RB	O
responds	VBZ	B-verb.communication
to	TO	O
me	PRP	O
ASAP	RB	O
!	.	O

RT	RT	O
@mhking	USR	O
:	:	O
Memphis	NNP	B-noun.person
man	NN	I-noun.person
shoots	VBZ	B-verb.contact
teen	NN	B-noun.person
who	WP	I-noun.group
refuses	VBZ	B-verb.communication
to	TO	O
pull	VB	B-verb.contact
up	RP	O
saggy	NN	B-noun.artifact
pants	NNS	I-noun.artifact
http://t.co/wZ0LIUw	URL	O

@CULTOFMIKEY	USR	O
It	PRP	O
's	VBZ	B-verb.stative
too	RB	O
long	JJ	O
,	,	O
and	CC	O
it	PRP	O
just	RB	O
...	:	O
I	PRP	O
do	VBP	B-verb.social
n't	RB	O
know	VB	B-verb.cognition
,	,	O
it	PRP	O
sounds	VBZ	B-verb.perception
cliche	NN	B-noun.communication
.	.	O
And	CC	O
dumb	JJ	O
.	.	O
My	PRP$	O
sister	NN	B-noun.person
wants	VBZ	B-verb.emotion
to	TO	O
